point,pgrass_250,ed_250,pgrass_3000,ed_3000
5SI1-02,0.7345688643371135,0.01133877690263856,0.0982154883369639,0.010465162719030552
5SI1-04,0.8867079769567905,0.00372819285091683,0.09821548833696252,0.010465162719030552
5SI1-05,0.9404669174515349,0.0018807108201975824,0.09821548833696146,0.010465162719030552
1SI4-01,0,0,0,0
1SI4-02,0,0,0,0
1SI4-03,0,0,0,0
5SI2-01,0.41193470899497886,0.013522736062116257,0.020226428216869728,0.02621272815602182
5SI2-02,0.7125929424814251,0.008058109753927914,0.02022642821686996,0.02621272815602182
5SI2-03,0.6870239067089047,0.009668075540263173,0.020226428216869947,0.02621272815602182
5SI2-04,0.3582014558691079,0.012810488983054948,0.020226428216870415,0.02621272815602182
5SI2-05,0.5160590696106683,0.012560014003097595,0.020226428216870394,0.02621272815602182
5SI2-06,0.7646425615264115,0.011261686087780888,0.020226428216869947,0.02621272815602182
5SI2-07,0.5980986737942551,0.020618504769652712,0.020226428216870082,0.02621272815602182
3LE2-01,1.0000000000001388,0,0.4527993892519298,0.0078014120356403455
3LE2-02,1.0000000000000961,0,0.4769289156424012,0.006265515249911283
3LE2-03,0.9999999999999241,0,0.45690384467178147,0.007792183724816618
3LE2-04,0.9585733513610045,0.0017910885759646002,0.45631813015568856,0.007595037570466657
3LE2-05,0.9999999999998671,0,0.4598971583039827,0.007560868971666279
3LE2-06,1.0000000000000735,0,0.45921542407194743,0.007714659935745919
3LE2-07,1.0000000000001459,0,0.4544908463731825,0.007804759727673002
3LE2-08,0.9564255650264604,0.002227115948965532,0.4986722307760926,0.006527774945702609
3LE2-09,0.8985122878921519,0.0023758179334509586,0.49605710624126625,0.006483253441579569
3LE2-10,0.7466540578351467,0.005781160869748106,0.49730924586699427,0.006649717690590674
3LE2-11,0.9168493301336966,0.0025768649673275435,0.4970648532019974,0.006579054636143758
3LE2-12,0.9999999999999134,0,0.48053990517108963,0.00693712483284765
3LE2-13,0.9899720223941452,6.015928427337754e-4,0.4533495551880559,0.007864568654445401
3LE2-14,0.9999999999999111,0,0.45237276062236953,0.007828416683701532
1SI1-01,0.4649018851635308,0.016961170291564315,0.028391159765431644,0.014537282270311253
1SI1-02,0.4998899628546913,0.010140220171730998,0.02839115976543187,0.014537282270311253
1SI1-03,0.6495485251800988,0.00811070589677769,0.028391159765431644,0.014537282270311253
1SI1-04,0.6376477598235712,0.00997588359467483,0.028391159765432054,0.014537282270311253
1SI1-05,0.3621398149984126,0.01636973018954689,0.028391159765431637,0.014537282270311253
1SI1-06,0.5135981429969229,0.008841928265813339,0.028391159765432473,0.014537282270311253
1SI1-07,0.6720137906339373,0.005771314647958879,0.028391159765432033,0.014537282270311253
1SI1-08,0.6779796353631217,0.005422654154188709,0.02839115976543213,0.014537282270311253
1SI1-09,0.4178518668907814,0.01064048061369998,0.02839115976543138,0.014537282270311253
1SI1-10,0.511027661437663,0.017259274531919645,0.02600198662747246,0.01447328919207882
1SI1-11,0.5238845796952002,0.012946478887268811,0.02354978333041456,0.014918455984478381
5LE2-01,0.6459539552717574,0.007205084874940242,0.08380387783400858,0.011216334912920635
5LE2-02,0.7213599259231,0.006751568521906088,0.07564318830691986,0.011957286704510966
5LE2-03,0.8036207008680215,0.005053526933263327,0.07138563693495581,0.012294280320887304
5LE2-04,0.877308057547521,0.0037171094343137986,0.07868781927960164,0.011899344197559185
5LE2-05,0.9624638091747413,0.0017816082546957296,0.06988810658638903,0.012222752173936343
5LE2-06,0.9097740497648467,0.002317280902810924,0.06842614622076244,0.011545005680094365
5LE2-07,0.8700656303105928,0.008627055740518851,0.06842614622076272,0.011545005680094365
5LE2-08,0.6464773374192428,0.009726510955457525,0.06842614622076293,0.011545005680094365
5LE2-09,0.7623990452343362,0.010389925520266503,0.06842614622076353,0.011545005680094365
5LE2-10,0.6861105491940591,0.01379813642780771,0.06842614622076411,0.011545005680094365
5LE2-11,0.6348039582182718,0.018964451710391843,0.0684261462207622,0.011545005680094365
5LE2-12,0.8087306954637539,0.01238973443363494,0.06842614622076296,0.011545005680094365
5LE2-13,0.6588284057604381,0.009616154270307663,0.06842614622076372,0.011545005680094365
5LE2-14,0.7011399756256745,0.011911085317951261,0.06842614622076255,0.011545005680094365
4SI4-01,0.4423526096230291,0.007567342566718342,0.010539784876598113,0.0093069659967642
4SI4-02,0.7154426094916824,0.0037155355530537827,0.010539784876598035,0.0093069659967642
4SI4-03,0.849899020487712,0.005073132727298111,0.010539784876598091,0.0093069659967642
4SI4-04,0.7751683837193176,0.00799770430414229,0.010539784876598261,0.0093069659967642
4SI4-05,0.6172413533951974,0.005575509252070321,0.0105397848765985,0.0093069659967642
4SI4-06,0.60120122410943,0.006957213403137361,0.010539784876598028,0.0093069659967642
4SI4-07,0.3795270082427485,0.009904225648427583,0.010539784876597933,0.0093069659967642
4SI4-08,0.4129757163946693,0.009113098717695594,0.010539784876598068,0.0093069659967642
4SI4-09,0.6697108067919761,0.0040878862395697805,0.010539784876598231,0.0093069659967642
3SI2-01,0.6109980122572972,0.007090667217265717,0.01864367807396592,0.01476939400099082
3SI2-02,0.9026889034161619,0.003656939921687217,0.018643678073965077,0.01476939400099082
3SI2-03,0.8575605106053102,0.009283365626545463,0.018643678073965563,0.01476939400099082
3SI2-04,0.6613692785938868,0.015557127493642728,0.018643678073965622,0.01476939400099082
3SI2-05,0.7898727209783404,0.01037274487577377,0.018643678073965064,0.01476939400099082
3SI2-06,0.9177399651676935,0.0034462546843847136,0.01864367807396557,0.01476939400099082
1SI2-01,0.6679206640804588,0.012014509340479738,0.00883304151421083,0.020723456386452625
1SI2-02,0.4807973262792778,0.015787529438261744,0.008833041514210925,0.020723456386452625
1SI2-03,0.2519634292962343,0.026732336959114204,0.008833041514211257,0.020723456386452625
1SI2-04,0.27930766245458294,0.023215629332492927,0.008833041514210972,0.020723456386452625
1SI2-05,0.24729884245414016,0.02579080386243087,0.008833041514211187,0.020723456386452625
